transfers_out,yellow_cards,code,goals_conceded,photo,saves,influence,ep_this,squad_number,goals_scored,loans_in,web_name,value_season,in_dreamteam,team_code,id,special,first_name,transfers_out_event,chance_of_playing_next_round,cost_change_start,cost_change_event_fall,creativity,cost_change_start_fall,bonus,ict_index,total_points,penalties_missed,transfers_in,status,form,own_goals,loaned_in,now_cost,points_per_game,clean_sheets,assists,selected_by_percent,value_form,loans_out,news,ea_index,penalties_saved,dreamteam_count,event_points,red_cards,loaned_out,transfers_in_event,bps,element_type,ep_next,threat,team,chance_of_playing_this_round,minutes,second_name,cost_change_event
13310,9,55829,36,55829.jpg,0,346.0,0.0,5,0,0,Yacob,12.6,False,35,442,False,Claudio,0,100,-2,0,108.5,2,0,49.0,54,0,10457,a,0.0,0,0,43,1.6,4,0,0.2,0.0,0,,286,0,0,2,0,0,0,366,3,1.3,33.0,19,100,2418,Yacob,0
8969,0,61538,0,61538.jpg,0,0.0,0.0,19,0,0,McManaman,0.0,False,35,443,False,Callum,0,0,-2,0,0.0,2,0,0.0,0,0,4326,u,0.0,0,0,43,0.0,0,0,0.1,0.0,0,Loaned to Sheffield Wednesday,27,0,0,0,0,0,0,0,3,0.0,0.0,19,0,0,McManaman,0
13907,9,63370,24,63370.jpg,0,288.6,0.0,14,1,0,McClean,10.8,False,35,444,False,James,0,100,-2,0,331.3,2,1,98.2,52,0,10324,a,0.0,0,0,48,1.5,2,3,0.1,0.0,0,,336,0,0,1,0,0,0,236,3,1.0,360.0,19,100,1477,McClean,0
51765,0,173809,3,173809.jpg,0,27.4,0.0,45,0,0,Leko,2.9,False,35,445,False,Jonathan,0,100,-4,0,29.9,4,0,7.6,12,0,53568,a,0.0,0,0,41,1.3,0,1,0.5,0.0,0,,28,0,0,1,0,0,0,38,3,0.3,20.0,19,100,118,Leko,0
1104770,2,50229,28,50229.jpg,0,463.2,0.0,10,4,0,Phillips,21.7,False,35,446,False,Matt,0,100,-2,0,508.9,2,12,142.3,115,0,1218528,a,0.0,0,0,53,4.3,6,9,4.0,0.0,0,,0,0,2,0,0,0,0,357,3,0.0,458.0,19,25,2181,Phillips,0
8294,0,11037,0,11037.jpg,0,3.6,0.0,17,0,0,Lambert,0.2,False,35,447,False,Rickie,0,0,-1,0,11.0,1,0,5.5,1,0,1463,u,0.0,0,0,54,1.0,0,0,0.1,0.0,0,Joined Cardiff on 31/8,72,0,0,0,0,0,0,3,4,0.0,40.0,19,0,13,Lambert,0
66156,1,91972,13,91972.jpg,0,38.4,-0.5,9,0,0,Berahino,4.3,False,110,448,False,Saido,0,100,-5,0,73.5,5,0,40.0,26,0,35630,a,0.0,0,0,60,1.5,4,0,0.5,0.0,0,,226,0,0,0,0,0,0,50,4,0.8,299.0,14,100,963,Berahino,0
885826,2,57134,44,57134.jpg,0,435.4,0.0,9,8,0,Rondón,18.7,False,35,449,False,Salomón,0,100,-2,0,430.3,2,10,227.8,118,0,927540,a,0.0,0,0,63,3.1,6,3,4.2,0.0,0,,354,0,1,2,0,0,0,287,4,2.6,1430.0,19,75,2892,Rondón,0
111420,1,60706,25,60706.jpg,53,367.8,0.0,13,0,0,Adrián,13.9,False,21,450,False,Adrián,0,,-4,0,10.0,4,6,37.7,64,0,60355,a,0.0,0,0,46,4.0,6,0,1.7,0.0,0,,356,0,0,2,0,0,0,311,1,6.3,0.0,20,,1440,San Miguel del Castillo,0
66629,1,32259,39,32259.jpg,64,484.8,0.0,1,0,0,Randolph,15.7,False,21,451,False,Darren,0,,-1,0,0.0,1,5,48.7,69,0,87599,a,0.0,0,0,44,3.1,4,0,1.3,0.0,0,,56,1,1,0,0,0,0,370,1,0.0,0.0,20,,1980,Randolph,0
